balance,total_orders,avg_order_value,total_spent,active_days,cluster,scenario,batch_id,timestamp
770.65,3,4296.876666666666,12890.629999999997,3,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
589.0,4,6427.525000000001,25710.100000000002,4,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
6.65,3,6271.69,18815.07,3,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
905.23,2,3366.69,6733.38,2,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
923.8,1,4075.8999999999996,4075.8999999999996,1,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
505.21,1,444.25,444.25,1,0,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
108.28,5,5584.8,27924.0,5,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
67.75,6,4164.126666666666,24984.76,6,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
438.98,2,6198.765,12397.53,2,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
75.36,7,3651.5185714285717,25560.63,7,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
882.53,2,5319.964999999999,10639.929999999998,2,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
513.17,5,4542.332,22711.66,5,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
754.72,5,4558.486,22792.43,4,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
801.59,1,7247.5599999999995,7247.5599999999995,1,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
349.33,2,2879.475,5758.95,2,0,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
217.95,10,4608.030000000001,46080.3,10,1,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
169.26,3,2581.7066666666665,7745.119999999999,3,0,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
936.35,1,7186.999999999999,7186.999999999999,1,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
753.1,2,4458.93,8917.86,2,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
316.95,6,5255.391666666667,31532.350000000002,6,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
490.89,3,5281.32,15843.96,3,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
755.05,5,4173.968,20869.84,5,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
582.62,2,2803.3199999999997,5606.639999999999,2,0,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
119.25,1,3254.07,3254.07,1,0,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
978.08,4,1721.8249999999998,6887.299999999999,4,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
949.93,1,6612.37,6612.37,1,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
294.83,3,6308.07,18924.21,3,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
568.5,4,2227.2574999999997,8909.029999999999,4,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
569.71,3,3343.763333333334,10031.29,3,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
181.96,5,4097.71,20488.55,5,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
706.14,2,2745.63,5491.26,2,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
436.81,2,6238.299999999999,12476.599999999999,2,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
725.31,2,5314.21,10628.42,2,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
875.88,1,313.93,313.93,1,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
631.31,2,2597.79,5195.58,2,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
474.4,8,4050.5387499999997,32404.309999999998,8,1,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
635.98,3,3797.536666666667,11392.61,3,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
558.87,5,3912.442,19562.21,5,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
508.9,2,2913.935,5827.87,2,0,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
277.87,6,3275.4133333333334,19652.48,6,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
416.8,2,1380.6850000000002,2761.3700000000003,2,0,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
689.48,3,1440.5733333333335,4321.72,3,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
803.97,5,3285.584,16427.92,5,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
635.06,2,4540.74,9081.48,2,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
120.9,5,2972.438,14862.19,5,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
145.02,3,3303.4933333333333,9910.48,3,0,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
891.18,3,5634.673333333335,16904.020000000004,3,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
932.1,1,1032.84,1032.84,1,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
39.15,1,5122.1,5122.1,1,0,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
861.0,2,3661.6949999999997,7323.389999999999,2,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
109.14,4,4183.344999999999,16733.379999999997,4,2,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
637.52,2,3271.39,6542.78,2,3,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
638.78,3,5002.783333333334,15008.35,3,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
596.92,1,5799.59,5799.59,1,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
7.76,2,7410.275,14820.55,2,4,customer_segmentation,customer_segmentation_1748638320,2025-05-31 01:53:56.029180
