balance,total_orders,avg_order_value,total_spent,active_days,cluster,scenario,batch_id,timestamp
472.55,3,4055.3566666666666,12166.07,3,0,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
202.26,4,2948.94,11795.76,4,0,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
930.47,5,3371.19,16855.95,5,0,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
36.69,3,7918.7266666666665,23756.18,3,2,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
397.15,2,3371.0250000000005,6742.050000000001,2,4,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
215.15,8,3915.17125,31321.37,8,1,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
401.75,3,4070.153333333333,12210.46,3,0,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
737.74,4,3343.0074999999997,13372.029999999999,4,0,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
13.39,6,5500.27,33001.62,6,1,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
904.79,1,5186.42,5186.42,1,4,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
313.22,7,4068.195714285714,28477.37,7,1,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
85.76,3,2382.76,7148.280000000001,3,4,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
301.41,4,3556.4424999999997,14225.769999999999,4,0,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
157.36,3,4413.75,13241.25,3,0,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
247.18,3,4916.266666666666,14748.8,3,0,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
985.96,1,9109.36,9109.36,1,2,customer_segmentation,customer_segmentation_1748642507,2025-05-31 03:03:41.892053
